,Название программы,Название вуза,Город,Направление,Уровень,Язык обучения,Продолжительность,Форма обучения,Возможность бесплатного обучения,Стоимость обучения,Где проходит обучение,Ссылка
0, Венчурные инвестиции и технологическое предпринимательство,МФТИ,Москва,Управление в технических системах,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12137-venchurnye-investitsii-i-tekhnologicheskoe-predprinimatelstvo/info/
1, Маркетинг,СФУ,Красноярск,Экономика и управление,магистратура,русский,2 года                                            ,очная,есть,160316,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/261985-marketing/info/
2," Математическое моделирование, численные методы и комплексы программ (Математическое моделирование нелинейных задач в физике и технике)",МИФИ,Москва,Информатика и вычислительная техника,аспирантура,"русский, английский",4 года                                            ,очная,есть,325000,Москва ,https://studyinrussia.ru/study-in-russia/programs/29644-matematicheskoe-modelirovanie-chislennye-metody-i-kompleksy-programm/info/
3, Управляемый термоядерный синтез и плазменные технологии (на английском языке),МИФИ,Москва,Ядерная энергетика и технологии,бакалавриат,английский,4 года                                            ,очная,есть,148300,Москва ,https://studyinrussia.ru/study-in-russia/programs/134151-fizika-plazmy-i-plazmennye-tekhnologii/info/
4, Физика,БФУ,Калининград,Физика и астрономия,бакалавриат,русский,4 года                                            ,очная,есть,2250,Калининград ,https://studyinrussia.ru/study-in-russia/programs/282410-fizika/info/
5, Физика конденсированных сред и функциональных наноструктур (на английском языке),СПбПУ,Санкт-Петербург,Физико-технические науки и технологии,магистратура,английский,2 года                                            ,очная,есть,305000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/285035-fizika-kondensirovannykh-sred-i-funktsionalnykh-nanostruktur-na-angliyskom-yazyke/info/
6,Aerospace engineering,МФТИ,Москва,Физико-технические науки и технологии,бакалавриат,английский,4 года                                            ,очная,нет,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/178454-aerospace-engineering/info/
7,Art and Science: Искусство. Дизайн. Технологии,ТГУ,Томск,Изобразительное и прикладные виды искусств,магистратура,русский,2 года                                            ,очная,нет,327600,Томск ,https://studyinrussia.ru/study-in-russia/programs/10865-graficheskiy-dizayn/info/
8,BIM технологии в инвестиционно-строительных проектах,РУДН,Москва,Архитектура,,английский,72 часа                                            ,очная,нет,690,Москва ,https://studyinrussia.ru/study-in-russia/programs/262933-bim-tekhnologii-v-investitsionnostroitelnykh-proektakh/info/
9,Biomedical engineering,МФТИ,Москва,Промышленная экология и биотехнологии,бакалавриат,английский,4 года                                            ,очная,нет,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/178463-biomedical-engineering/info/
10,Computer science,МФТИ,Москва,Математика и механика,бакалавриат,английский,4 года                                            ,очная,нет,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/178460-computer-science/info/
11,Designing and operation of nuclear power plants,МИФИ,Москва,,,,,,нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/417738-designing-and-operation-of-nuclear-power-plants/info/
12,Germanica: история и современность,ВШЭ,Москва,Политические науки и регионоведение,магистратура,русский,2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/408044-germanica-istoriya-i-sovremennost/info/
13,High energy physics and astrophysics,МИФИ,Москва,Ядерная энергетика и технологии,магистратура,английский,2 года                                            ,,нет,207610,Москва ,https://studyinrussia.ru/study-in-russia/programs/417735-high-energy-physics-and-astrophysics/info/
14,HR-аналитика,ВШЭ,Москва,Экономика и управление,магистратура,"русский, английский",2 года                                            ,очная,есть,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/242133-hranalitika/info/
15,IT-инновации в бизнесе,УрФУ,Екатеринбург,Информатика и вычислительная техника,магистратура,английский,2 года                                            ,очная,есть,2875,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/9893-itinnovatsii-v-biznese/info/
16,Materials Design and Engineering,МИФИ,Москва,Ядерная энергетика и технологии,магистратура,английский,2 года                                            ,очная,нет,207610,Москва ,https://studyinrussia.ru/study-in-russia/programs/367580-materials-design-and-engineering/info/
17,Materials for Nuclear Application,МИФИ,Москва,Ядерная энергетика и технологии,магистратура,английский,2 года                                            ,очная,нет,207610,Москва ,https://studyinrussia.ru/study-in-russia/programs/367587-materials-for-nuclear-application/info/
18,NANOFUTURE SCAMT WORKSHOP WEEK (Летняя школа),Университет ИТМО,Санкт-Петербург,,,английский,1 неделя                                            ,очная,нет,300,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/407064-nanofuture-scamt-workshop-week-letnyaya-shkola/info/
19,Nuclear Engineering,МИФИ,Москва,Ядерная энергетика и технологии,магистратура,английский,2 года                                            ,очная,нет,207610,Москва ,https://studyinrussia.ru/study-in-russia/programs/367590-nuclear-engineering/info/
20,Nuclear Power Engineering,МИФИ,Москва,Ядерная энергетика и технологии,магистратура,английский,2 года                                            ,очная,нет,207610,Москва ,https://studyinrussia.ru/study-in-russia/programs/367595-nuclear-power-engineering/info/
21,Powerplants and Energy Systems of Aircrafts (Силовые установки и энергетические системы летательных аппаратов) (совместно с Университетом г. Штутгарт),Самарский университет,Самара,Авиационная и ракетно-космическая техника,магистратура,"русский, английский",2 года                                            ,очная,нет,175000,Самара ,https://studyinrussia.ru/study-in-russia/programs/79653-silovye-ustanovki-i-energeticheskie-sistemy-letatelnykh-apparatov-g-turin/info/
22,PR и реклама в системе новых медиа,ТГУ,Томск,Средства массовой информации и информационно-библиотечное дело,магистратура,русский,2 года                                            ,очная,нет,185200,Томск ,https://studyinrussia.ru/study-in-russia/programs/10991-pr-i-reklama-v-sisteme-novykh-media/info/
23,PR и Реклама: Гармонизация Межкультурных Коммуникаций,УрФУ,Екатеринбург,Средства массовой информации и информационно-библиотечное дело,магистратура,английский,2 года                                            ,,есть,3163,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/52252-pr-i-reklama-garmonizatsiya-mezhkulturnykh-kommunikatsiy/info/
24,Python для социальных наук: введение в язык программирования ,ВШЭ,Москва,Компьютерные и информационные науки,,английский,1 неделя                                            ,очная,нет,425,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/166235-python-dlya-sotsialnykh-nauk-vvedenie-v-yazyk-programmirovaniya-/info/
25,R для социальных наук: введение в язык программирования ,ВШЭ,Москва,Компьютерные и информационные науки,,английский,1 неделя                                            ,очная,нет,425,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/166233-r-dlya-sotsialnykh-nauk-vvedenie-v-yazyk-programmirovaniya-/info/
26,Science Engineering: моделирование нефтегазовых месторождений,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/89359-science-engineering-modelirovanie-neftegazovykh-mestorozhdeniy/info/
27,"Smart-маркетинг: данные, аналитика, инсайты (Пермь)",ВШЭ,Москва,Экономика и управление,магистратура,"русский, английский",2 года                                            ,очная,есть,127000,Пермь ,https://studyinrussia.ru/study-in-russia/programs/13121-marketing-perm/info/
28,THE ADVANCED AUGMENTED REALITY COURSE,Университет ИТМО,Санкт-Петербург,,,английский,1 неделя                                            ,,нет,100,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/407229-the-advanced-augmented-reality-course/info/
29,Theoretical physics and mathematical modeling ,МИФИ,Москва,,бакалавриат,английский,4 года                                            ,очная,есть,129000,Москва ,https://studyinrussia.ru/study-in-russia/programs/374966-theoretical-physics-and-mathematical-modeling-/info/
30,Авиационная и космическая медицина,МГМУ,Москва,Клиническая медицина,ординатура,русский,2 года                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16192-aviatsionnaya-i-kosmicheskaya-meditsina/info/
31,"Авионика, управляющие информационные системы",МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12115-avionika-upravlyayushchie-informatsionnye-sistemy/info/
32,Автоматизация и информационно-измерительные системы физических установок,МИФИ,Москва,Ядерная энергетика и технологии,специалитет,русский,"5,5 лет                                            ","очная, очно-заочная",есть,242320,Москва ,https://studyinrussia.ru/study-in-russia/programs/13337-avtomatizatsiya-i-informatsionnoizmeritelnye-sistemy-fizicheskikh-ustanovok/info/
33,Автоматизация и управление технологическими процессами и производствами,МФТИ,Москва,Информатика и вычислительная техника,аспирантура,русский,4 года                                            ,"очная, заочная",есть,300000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12200-avtomatizatsiya-i-upravlenie-tekhnologicheskimi-protsessami-i-proizvodstvami/info/
34,Автоматизация и управление технологическими процессами и производствами (по отраслям),МИФИ,Москва,Информатика и вычислительная техника,аспирантура,"русский, английский",4 года                                            ,очная,есть,325000,Москва ,https://studyinrussia.ru/study-in-russia/programs/71975-avtomatizatsiya-i-upravlenie-tekhnologicheskimi-protsessami-i-proizvodstvami-po-otraslyam/info/
35,Автоматизация конструкторско-технологического проектирования,СФУ,Красноярск,Машиностроение,магистратура,русский,2 года                                            ,очная,есть,170622,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/148948-avtomatizatsiya-konstruktorskotekhnologicheskogo-proektirovaniya/info/
36,Автоматизация технологических процессов в металлургии,СФУ,Красноярск,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,170622,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/16051-avtomatizatsiya-tekhnologicheskikh-protsessov-v-metallurgii/info/
37,Автоматизация технологических процессов и производств,ТПУ,Томск,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,2900,Томск ,https://studyinrussia.ru/study-in-russia/programs/10005-avtomatizatsiya-tekhnologicheskikh-protsessov-i-proizvodstv/info/
38,Автоматизация технологических процессов и производств,УрФУ,Екатеринбург,Машиностроение,бакалавриат,русский,4 года                                            ,очная,нет,210000168000,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/10315-avtomatizatsiya-tekhnologicheskikh-protsessov-i-proizvodstv/info/
39,Автоматизация технологических процессов и производств,Университет ИТМО,Санкт-Петербург,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,224000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/9839-avtomatizatsiya-tekhnologicheskikh-protsessov-i-proizvodstv-pishchevoy-promyshlennosti/info/
40,Автоматизация технологических процессов и производств,ДВФУ,Владивосток,Машиностроение,магистратура,русский,2 года                                            ,очная,есть,275000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9677-avtomatizatsiya-tekhnologicheskikh-protsessov-i-proizvodstv/info/
41,Автоматизация технологических процессов и производств,Университет ИТМО,Санкт-Петербург,Машиностроение,магистратура,"русский, английский",2 года                                            ,очная,есть,239000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/9938-avtomatizatsiya-tekhnologicheskikh-protsessov-i-proizvodstv/info/
42,Автоматизация технологических процессов и производств,СПбПУ,Санкт-Петербург,Машиностроение,магистратура,русский,2 года                                            ,очная,есть,224400234600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13525-avtomatizatsiya-tekhnologicheskikh-protsessov-i-proizvodstv/info/
43,Автоматизированные системы,МИСиС,Москва,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,228000,Москва ,https://studyinrussia.ru/study-in-russia/programs/57216-avtomatizirovannye-sistemy/info/
44,Автоматизированные системы в производственной сфере,МИСиС,Москва,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,202000,Москва ,https://studyinrussia.ru/study-in-russia/programs/57085-avtomatizirovannye-sistemy-v-proizvodstvennoy-sfere/info/
45,Автоматика и Мехатроника (Магистратура),ЛЭТИ,Санкт-Петербург,Управление в технических системах,магистратура,английский,2 года                                            ,очная,есть,200000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/79164-avtomatika-i-mekhatronika/info/
46,Автомобили и автомобильное хозяйство,СФУ,Красноярск,Техника и технологии наземного транспорта,бакалавриат,русский,4 года                                            ,очная,есть,170622,"Абакан, Красноярск ",https://studyinrussia.ru/study-in-russia/programs/288419-avtomobili-i-avtomobilnoe-khozyaystvo/info/
47,Аграрная экономика,ВШЭ,Москва,Экономика и управление,магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/408050-agrarnaya-ekonomika/info/
48,Агробиотехнология,РУДН,Москва,"Сельское, лесное и рыбное хозяйство",магистратура,русский,2 года                                            ,очная,есть,2841003700,Москва ,https://studyinrussia.ru/study-in-russia/programs/34640-agrobiotekhnologiya/info/
49,Агроинженерия,ПетрГУ,Петрозаводск,"Сельское, лесное и рыбное хозяйство",бакалавриат,русский,4 года                                            ,очная,нет,157500,Петрозаводск ,https://studyinrussia.ru/study-in-russia/programs/9523-agroinzheneriya/info/
50,Агрономия,ПетрГУ,Петрозаводск,"Сельское, лесное и рыбное хозяйство",бакалавриат,русский,4 года                                            ,очная,нет,157500,Петрозаводск ,https://studyinrussia.ru/study-in-russia/programs/9522-agronomiya/info/
51,Агрономия,РУДН,Москва,"Сельское, лесное и рыбное хозяйство",бакалавриат,русский,4  года                                            ,очная,есть,2648003500,Москва ,https://studyinrussia.ru/study-in-russia/programs/30350-agronomiya-/info/
52,Агрономия,ТГУ,Томск,"Сельское, лесное и рыбное хозяйство",бакалавриат,русский,4 года                                            ,очная,нет,210300,Томск ,https://studyinrussia.ru/study-in-russia/programs/10740-agronomiya-bi/info/
53,Адаптивный анализ данных,УрФУ,Екатеринбург,Информатика и вычислительная техника,магистратура,английский,2 года                                            ,очная,есть,3163,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/89270-adaptivnyy-analiz-dannykh/info/
54,Адвокат по гражданским и уголовным делам,ВШЭ,Москва,Юриспруденция,магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/150448-advokat-po-grazhdanskim-i-ugolovnym-delam/info/
55,Аддитивные газофазные технологии и компьютерное моделирование в технической физике,ТГУ,Томск,Физико-технические науки и технологии,магистратура,русский,2 года                                            ,очная,нет,224400,Томск ,https://studyinrussia.ru/study-in-russia/programs/10911-sovremennye-problemy-turbulentnykh-techeniy-v-tekhnicheskikh-prilozheniyakh/info/
56,Административное право и административный процесс,РУДН,Москва,Юриспруденция,магистратура,русский,2 года                                            ,заочная,есть,2550004000,Москва ,https://studyinrussia.ru/study-in-russia/programs/113150-administrativnoe-pravo-i-administrativnyy-protsess/info/
57,"Административное право, административный процесс ",ННГУ,Нижний Новгород,Юриспруденция,аспирантура,русский,3 года                                            ,"очная, заочная",есть,200000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/270857-administrativnoe-pravo-administrativnyy-protsess-/info/
58,"Административное право, административный процесс",ВШЭ,Москва,Юриспруденция,аспирантура,"русский, английский",3 года                                            ,"очная, заочная",есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/13216-administrativnoe-pravo-administrativnyy-protsess/info/
59,Административное право; административный процесс.,РУДН,Москва,Юриспруденция,аспирантура,русский,3 года                                            ,"очная, заочная",есть,3121005400,Москва ,https://studyinrussia.ru/study-in-russia/programs/91532-administrativnoe-pravo-administrativnyy-protsess/info/
60,Актуальные вопросы судебно-медицинской экспертизы,МГМУ,Москва,Клиническая медицина,,русский,216 часов                                            ,очная,нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16548-aktualnye-voprosy-sudebnomeditsinskoy-ekspertizy/info/
61,Актуальные проблемы философии,ТГУ,Томск,"Философия, этика и религиоведение",магистратура,русский,2 года                                            ,очная,нет,185200,Томск ,https://studyinrussia.ru/study-in-russia/programs/10774-aktualnye-problemy-filosofii/info/
62,Акустика,МФТИ,Москва,Физика и астрономия,аспирантура,русский,4 года                                            ,"очная, заочная",есть,300000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12194-akustika/info/
63,Акустика,ННГУ,Нижний Новгород,Физика и астрономия,,русский,4 года                                            ,"очная, заочная",есть,200000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/270006-akustika/info/
64,Акушерство и гинекология,БФУ,Калининград,Клиническая медицина,ординатура,русский,2 года                                            ,очная,есть,3200,Калининград ,https://studyinrussia.ru/study-in-russia/programs/16390-310801-akusherstvo-i-ginekologiya/info/
65,Акушерство и гинекология,РУДН,Москва,Клиническая медицина,ординатура,русский,2 года                                            ,очная,нет,3939006900,Москва ,https://studyinrussia.ru/study-in-russia/programs/86045-akusherstvo-i-ginekologiya/info/
66,Акушерство и гинекология,НГУ,Новосибирск,Клиническая медицина,ординатура,русский,2 года                                            ,очная,есть,5500,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/10535-akusherstvo-i-ginekologiya/info/
67,Акушерство и гинекология,МГМУ,Москва,Клиническая медицина,ординатура,"русский, английский",2 года                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16168-akusherstvo-i-ginekologiya/info/
68,Акушерство и гинекология,БФУ,Калининград,Клиническая медицина,аспирантура,русский,3 года                                            ,очная,есть,2300,Калининград ,https://studyinrussia.ru/study-in-russia/programs/283093-akusherstvo-i-ginekologiya/info/
69,Алгоритмы и программное обеспечение ГНСС,Самарский университет,Самара,"Электроника, радиотехника и системы связи",магистратура,английский,2 года                                            ,очная,есть,147400,Самара ,https://studyinrussia.ru/study-in-russia/programs/113763-algoritmy-i-programmnoe-obespechenie-gnss/info/
70,Алгоритмы и технологии программирования,МФТИ,Москва,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/89416-algoritmy-i-tekhnologii-programmirovaniya/info/
71,Алгоритмы наукоемкого программного обеспечения,МИСиС,Москва,Математика и механика,бакалавриат,русский,4 года                                            ,очная,есть,228000,Москва ,https://studyinrussia.ru/study-in-russia/programs/56282-algoritmy-naukoemkogo-programmnogo-obespecheniya/info/
72,Аллергология и иммунология,МГМУ,Москва,Клиническая медицина,ординатура,русский,2 года                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16193-allergologiya-i-immunologiya/info/
73,Аллергология и иммунология,БФУ,Калининград,Клиническая медицина,ординатура,русский,2 года                                            ,очная,нет,3800,Калининград ,https://studyinrussia.ru/study-in-russia/programs/282963-allergologiya-i-immunologiya/info/
74,Анализ данных,МФТИ,Москва,Математика и механика,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12138-analiz-dannykh/info/
75,Анализ данных в биологии и медицине,ВШЭ,Москва,Математика и механика,магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/24638-analiz-dannykh-v-biologii-i-meditsine/info/
76,Анализ культурных данных и визуализация,Университет ИТМО,Санкт-Петербург,,магистратура,"русский, английский",2 года                                            ,очная,есть,214000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/313758-analiz-kulturnykh-dannykh-i-vizualizatsiya/info/
77,Аналитик деловой разведки,ВШЭ,Москва,Экономика и управление,магистратура,"русский, английский",2 года                                            ,очная,нет,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/150462-analitik-delovoy-razvedki/info/
78,Аналитика больших массивов данных,НГУ,Новосибирск,Математика и механика,магистратура,английский,2 года                                            ,очная,есть,5200,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/85078-analiz-bolshikh-massivov-dannykh/info/
79,Аналитическая диагностика новых психоактивных веществ,МГМУ,Москва,Клиническая медицина,,русский,72 часа                                            ,очная,нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16543-analiticheskaya-diagnostika-novykh-psikhoaktivnykh-veshchestv/info/
80,Аналитическая химия,МИФИ,Москва,Химические науки,,русский,4 года                                            ,очная,есть,89872,Москва ,https://studyinrussia.ru/study-in-russia/programs/368019-analiticheskaya-khimiya/info/
81,Аналитическая химия ,ННГУ,Нижний Новгород,Химические науки,аспирантура,русский,4 года                                            ,"очная, заочная",есть,200000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/270045-analiticheskaya-khimiya-/info/
82,Анатомия человека,БФУ,Калининград,Фундаментальная медицина,аспирантура,русский,3 года                                            ,очная,есть,2300,Калининград ,https://studyinrussia.ru/study-in-russia/programs/283087-anatomiya-cheloveka/info/
83,Английская и русская литература в сопоставительном аспекте,РУДН,Москва,Языкознание и литературоведение,аспирантура,английский,3 года                                            ,очная,есть,4057305200,,https://studyinrussia.ru/study-in-russia/programs/116644-angliyskaya-i-russkaya-literatura-v-sopostavitelnom-aspekte/info/
84,Английский язык: Академическая коммуникация,КФУ,Казань,,,русский,16 часов                                            ,,нет,,Казань ,https://studyinrussia.ru/study-in-russia/programs/418011-angliyskiy-yazyk-akademicheskaya-kommunikatsiya/info/
85,Анестезиология и реаниматология,РУДН,Москва,Клиническая медицина,ординатура,русский,2 года                                            ,очная,нет,3939004500,Москва ,https://studyinrussia.ru/study-in-russia/programs/137145-anesteziologiya-i-reanimatologiya/info/
86,Анестезиология-реаниматология,БФУ,Калининград,Клиническая медицина,ординатура,русский,2 года                                            ,очная,есть,3200,Калининград ,https://studyinrussia.ru/study-in-russia/programs/16392-310802-anesteziologiyareanimatologiya/info/
87,Анестезиология-реаниматология,МГМУ,Москва,Клиническая медицина,ординатура,русский,2 года                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16175-anesteziologiyareanimatologiya/info/
88,"Антенны, СВЧ устройства и их технологии",ВШЭ,Москва,"Электроника, радиотехника и системы связи",аспирантура,"русский, английский",4 года                                            ,"очная, заочная",есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/13189-antenny-svch-ustroystva-i-ikh-tekhnologii/info/
89,"Антенны, СВЧ устройства и их технологии",МФТИ,Москва,"Электроника, радиотехника и системы связи",аспирантура,русский,4 года                                            ,"очная, заочная",есть,300000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12275-antenny-svch-ustroystva-i-ikh-tekhnologii/info/
90,Античная и восточная археология,ВШЭ,Москва,История и археология,магистратура,"русский, английский",2 года                                            ,очная,нет,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/250419-antichnaya-i-vostochnaya-arkheologiya/info/
91,Античность,ВШЭ,Москва,История и археология,бакалавриат,"русский, английский",5 лет                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/246787-antichnost/info/
92,Античность,ВШЭ,Москва,Языкознание и литературоведение,бакалавриат,русский,4 года                                            ,очная,есть,350000,Москва ,https://studyinrussia.ru/study-in-russia/programs/246791-antichnost/info/
93,Антропология и этнология,КФУ,Казань,История и археология,магистратура,русский,2 года                                            ,очная,есть,162000,Казань ,https://studyinrussia.ru/study-in-russia/programs/14097-antropologiya-i-etnologiya/info/
94,Антропология и этнология,ТГУ,Томск,История и археология,,русский,4 года                                            ,очная,нет,135240,Томск ,https://studyinrussia.ru/study-in-russia/programs/145061-antropologiya-i-etnologiya/info/
95,Антропология и этнология,ТюмГУ,Тюмень,История и археология,магистратура,русский,2 года                                            ,очная,нет,,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/362937-antropologiya-i-etnologiya/info/
96,Антропология и этнология,КФУ,Казань,История и археология,бакалавриат,русский,4 года                                            ,очная,есть,142500,Казань ,https://studyinrussia.ru/study-in-russia/programs/14040-antropologiya-i-etnologiya/info/
97,Археология Северной и Центральной Азии,НГУ,Новосибирск,История и археология,магистратура,русский,2 года                                            ,очная,есть,5200,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/101933-arkheologiya-severnoy-i-tsentralnoy-azii/info/
98,Археология Северной и Центральной Азии (двойной диплом),НГУ,Новосибирск,История и археология,магистратура,русский,2 года                                            ,очная,есть,5200,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/85081-arkheologiya-severnoy-i-tsentralnoy-azii-dvoynoy-diplom/info/
99,Архитектура,ДВФУ,Владивосток,Архитектура,аспирантура,русский,3 года                                            ,"очная, заочная",есть,305000150000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9753-arkhitektura/info/
100,Архитектура,УрФУ,Екатеринбург,Архитектура,бакалавриат,русский,4 года                                            ,очная,есть,218700175000,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/10313-arkhitektura/info/
101,Архитектура,ДВФУ,Владивосток,Архитектура,бакалавриат,русский,5 лет                                            ,очная,есть,200000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9586-arkhitektura/info/
102,Архитектура,ЮУрГУ,Челябинск,Архитектура,бакалавриат,русский,5 лет                                            ,очная,есть,146400,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/249231-arkhitektura/info/
103,Архитектура,ДВФУ,Владивосток,Архитектура,магистратура,русский,2 года                                            ,очная,есть,275000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9667-arkhitektura/info/
104,Архитектура,РУДН,Москва,Архитектура,бакалавриат,русский,5 лет                                            ,очная,есть,2650004750,,https://studyinrussia.ru/study-in-russia/programs/86510-arkhitektura/info/
105,"Архитектура жилых, общественных и промышленных зданий",РУДН,Москва,Архитектура,магистратура,русский,2 года                                            ,"очная, очно-заочная",есть,2841003700,Москва ,https://studyinrussia.ru/study-in-russia/programs/86565-arkhitektura-zhilykh-obshchestvennykh-i-promyshlennykh-zdaniy/info/
106,Архитектура цифрового предприятия,МИСиС,Москва,Экономика и управление,бакалавриат,русский,4 года                                            ,очная,нет,202000,Москва ,https://studyinrussia.ru/study-in-russia/programs/56294-arkhitektura-predpriyatiya/info/
107,"Архитектура, геометрия и расчет большепролетных пространственных структур",РУДН,Москва,Техника и технологии строительства,магистратура,русский,2 года                                            ,очная,есть,3700,Москва ,https://studyinrussia.ru/study-in-russia/programs/86638-arkhitektura-geometriya-i-raschet-bolsheproletnykh-prostranstvennykh-struktur/info/
108,Архитектуры современных интеллектуальных систем,МИФИ,Москва,Информатика и вычислительная техника,магистратура,русский,2 года                                            ,очная,есть,123700,Москва ,https://studyinrussia.ru/study-in-russia/programs/367680-arkhitektury-sovremennykh-intellektualnykh-sistem/info/
109,Ассириология,ВШЭ,Москва,Политические науки и регионоведение,бакалавриат,русский,5 лет                                            ,,есть,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/250362-assiriologiya/info/
110,Астрономия,УрФУ,Екатеринбург,Физика и астрономия,специалитет,русский,5 лет                                            ,очная,есть,2615,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/10309-astronomiya/info/
111,Астрономия,КФУ,Казань,Физика и астрономия,специалитет,русский,5 лет                                            ,очная,есть,154200,Казань ,https://studyinrussia.ru/study-in-russia/programs/14046-astronomiya/info/
112,Астрофизика и звездная астрономия,МФТИ,Москва,Физика и астрономия,аспирантура,русский,4 года                                            ,"очная, заочная",есть,300000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12184-astrofizika-i-zvezdnaya-astronomiya/info/
113,"Атомные станции: проектирование, эксплуатация и инжиниринг",УрФУ,Екатеринбург,Ядерная энергетика и технологии,специалитет,русский,5 лет                                            ,очная,есть,2000,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/10312-atomnye-stantsii-proektirovanie-ekspluatatsiya-i-inzhiniring/info/
114,"Атомные станции: проектирование, эксплуатация и инжиниринг",ТПУ,Томск,Ядерная энергетика и технологии,специалитет,русский,5 лет                                            ,очная,есть,2900,Томск ,https://studyinrussia.ru/study-in-russia/programs/10123-atomnye-stantsii-proektirovanie-ekspluatatsiya-i-inzhiniring/info/
115,Аудиовизуальный перевод,БФУ,Калининград,,магистратура,"русский, английский",2 года                                            ,очная,есть,2550,Калининград ,https://studyinrussia.ru/study-in-russia/programs/16252-perevodovedenie-i-perevod-v-yazykovoy-pare-vklyuchayushchey-russkiy-yazyk/info/
